,location
3520,Mister Rogers’ Neighborhood
3521,มู้อังแลนด์
3522,"Scarborough, Ontario, Canada"
3523,"deep ,in a command bunker"
3524,"Staten Island, NY"
3525,DET MI USA
3526,"ÜT: 34.8282831,-82.6053906"
3527,"East Coast, USA"
3528,"Oceanside, CA"
3529,United States
3530,"Cincinnati,Ohio"
3531,"West Valley City, UT"
3532,"Selangor, Malaysia"
3533,HKG ✈ NYC ✈ LON ✈ SYD
3534,PHL👣NYC
3535,Legit greatest country~
3536,"Woodland, WA"
3537,"""You can't get rich in politics unless you're a crook."" ~ Harry S. Truman"
3538,UAA
3539,Australia
3540,United States
3541,"Tampa, FL"
3542,USA
3543,where the blacktop ends
3544,"Oakley, CA"
3545,"California, USA"
3546,"Washington, USA"
3547,Australia
3548,Australia
3549,my home
3550,"Illinois, USA"
3551,"California, USA"
3552,Twitmo 😴 LA (Lower Alabama)
3553,United States
3554,𝚝𝚡𝚝❣︎
3555,sf🌈
3556,Minneapolis
3557,"Boston, MA"
3558, Carolyn's Heart
3559,"Texas, USA"
3560,"Indianapolis, IN"
3561,"Sacramento, CA"
3562,US
3563,Singapore
3564,"Buffalo, NY "
3565,TX
3566,NY Is a shithole
3567,"Dallas, TX"
3568,"Stanford, CA, USA"
3569,Ottawa
3570,Boston #MAGA #TWGRP 
3571,down the rabbit hole
3572,"Cloverdale, CA"
3573,In your dreams
3574,TX ✈️ LA 🛳 Seven Seas 
3575,MS Gulf Coast
3576,http://www.drjohnbergman.com/
3577,Bedford
3578,USA
3579,Former Intel / World Traveller
3580,A cloud☁️
3581,"St Louis, MO"
3582,"New Trumpshire, USA"
3583,"Aquarius🌞, Leo🌚, ⬆️Gemini"
3584,"Puebla, México"
3585,Eastern Washington
3586,http://www.drjohnbergman.com/
3587,"Charlotte, North Carolina"
3588,"Middletown, NY"
3589,"Bay Area, CA"
3590,"Kingston, Ontario"
3591,"Monterrey, México"
3592,"Texas, USA"
3593,"Portland, OR"
3594,Bay Area
3595,United States
3596,"Washington, USA"
3597,"Illinois, USA"
3598,"Atlanta, GA"
3599,"Baltimore, MD"
3600,México
3601,"San Mateo County, California"
3602,"Peterborough, Ontario, Canada"
3603,"Bay Area, CA"
3604,Eastcoast
3605,"Phoenix, AZ"
3606,"Maine, USA"
3607,"Upstate New York, NY"
3608,"Framingham, MA"
3609,"Maine, USA"
3610,"Texas, USA"
3611,"(Conway, Arkansas)"
3612,Asses
3613,USA
3614,"Dallas, TX"
3615,"Melbourne, Victoria"
3616,"Bronx, NY"
3617,Iligan City
3618,United States
3619,serenity 
3620,california
3621,Broward
3622,"Detroit, MI"
3623,"Seaside, California, USA"
3624,my home
3625,"Seaside, California, USA"
3626,Base Hereford
3627,New Zealand
3628,SomeWhere over the Rainbow
3629,my home
3630,Ottawa
3631,"Georgia, USA"
3632,Free Hanseatic City of Bremen
3633,"Milwaukee, WI"
3634,NorCal
3635,"Richmond, KY"
3636,Midwest United States
3637,"New Orleans, Louisiana."
3638,"Maine, USA"
3639,the zoo
3640,Utopia™
3641,South Carolina❤️
3642,"Pittsburgh, PA"
3643,"Bintulu, Sarawak"
3644,"Lafayette, CO"
3645,"Milwaukee, WI"
3646,"Overland Park, KS"
3647,"odenton, md"
3648,"San Mateo County, California"
3649,The Universe
3650,"Caro, MI"
3651,"Huntington Beach, CA"
3652,"Hetauda, Nepal"
3653,US
3654,United States
3655,USA
3656,"Washington, DC"
3657,New Zealand
3658,"Philadelphia, PA"
3659,VA
3660,Macedonian Content Farmer 
3661,"Washington, DC"
3662,NEO
3663,"Nashville, TN"
3664,Oman
3665,"Detroit, MI "
3666,"Wrightwood, CA"
3667,Nagpur
3668,"Toronto, Ontario Canada"
3669,"San Luis Obispo, CA"
3670,Mississippi
3671,"Central Okanagan, British Columbia"
3672,Barcelona Spain
3673,New Jersey
3674,Michigan
3675,Jamaica
3676,"Erlanger, KY"
3677,United States
3678,"Corinth, MS"
3679,"Anand, India"
3680,luke 1:37 / proverbs 31:25 🌺
3681,Land of the Sufis
3682,"Philadelphia, PA"
3683,London
3684,"Galveston, TX"
3685,"Arizona, USA"
3686,"Wrightwood, CA"
3687,"Indiana, USA"
3688,"Toronto, Ontario"
3689,Sports Purgatory
3690,"Boulder, CO"
3691,"Hudson Valley, New York"
3692,"Tempe, AZ"
3693,GA
3694,"Chicago, IL"
3695,Brisbane
3696,"Norfolk, VA"
3697,"San Diego, CA"
3698,NorCal
3699,"Canutillo, TX"
3700,"Kakistocracy, here there tither and yon"
3701,"Oregon, USA"
3702,"Lyon, France"
3703,Toronto
3704,"Harrisburg, PA"
3705,The United States of America
3706,https://gab.com/Neeto_Heeto
3707,GA
3708,Malaysia
3709,"Manchester, NH"
3710,"Berkeley, CA"
3711,"Ontario, Canada"
3712,Northern Illinois
3713,"Ann Arbor, MI"
3714,"Omaha, NE"
3715,"Ottawa, Canada"
3716,"Texas, USA"
3717,FL/VZLA
3718,"Tempe, AZ"
3719,Los Angeles
3720,United States
3721,Planet Earth
3722,"Pennsylvania, USA"
3723,"Columbus, OH"
3724,Australia
3725,"Wrightwood, CA"
3726,"odenton, md"
3727,"Houston, TX"
3728,Mister Rogers’ Neighborhood
3729,"Auburn, MA"
3730,"Behind you, USA"
3731,"New Jersey, USA"
3732,"Perris, California"
3733,US
3734,"Double Springs, AL"
3735,"Ile-de-France, France"
3736,west indiana
3737,Portland
3738,"Fort Stockton, TX"
3739,440
3740,🌏
3741,USA
3742,The REPUBLIC of Texas!
3743,"Peshawar, Pakistan"
3744,US
3745,https://twitter.com/nick_mrtikki3
3746,"Sacramento, CA"
3747,waterloo
3748,"Elmira, NY"
3749,"Texas, USA"
3750,"East Coast, USA"
3751,United States
3752,USA
3753,"Ile-de-France, France"
3754,WorldWide 
3755,"Minnesota, USA"
3756,"Arkansas, USA"
3757,"Philadelphia, PA, USA"
3758,Ohio valley
3759,United States
3760,United States
3761,Colorado
3762,"California, USA"
3763,Sheffield
3764,Sheffield
3765,Canada
3766,"Tulsa, OK"
3767,SoCal
3768,"Milwaukee, WI"
3769,Mister Rogers’ Neighborhood
3770,มู้อังแลนด์
3771,"Scarborough, Ontario, Canada"
3772,"deep ,in a command bunker"
3773,"Staten Island, NY"
3774,DET MI USA
3775,"ÜT: 34.8282831,-82.6053906"
3776,"East Coast, USA"
3777,"Oceanside, CA"
3778,United States
3779,"Cincinnati,Ohio"
3780,"West Valley City, UT"
3781,"Selangor, Malaysia"
3782,HKG ✈ NYC ✈ LON ✈ SYD
3783,PHL👣NYC
3784,Legit greatest country~
3785,"Woodland, WA"
3786,"""You can't get rich in politics unless you're a crook."" ~ Harry S. Truman"
3787,UAA
3788,Australia
3789,United States
3790,"Tampa, FL"
3791,USA
3792,where the blacktop ends
3793,"Oakley, CA"
3794,"California, USA"
3795,"Washington, USA"
3796,Australia
3797,Australia
3798,my home
3799,"Illinois, USA"
3800,"California, USA"
3801,Twitmo 😴 LA (Lower Alabama)
3802,United States
3803,𝚝𝚡𝚝❣︎
3804,sf🌈
3805,Minneapolis
3806,"Boston, MA"
3807, Carolyn's Heart
3808,"Texas, USA"
3809,"Indianapolis, IN"
3810,"Sacramento, CA"
3811,US
3812,Singapore
3813,"Buffalo, NY "
3814,TX
3815,NY Is a shithole
3816,"Dallas, TX"
3817,"Stanford, CA, USA"
3818,Ottawa
3819,Boston #MAGA #TWGRP 
3820,down the rabbit hole
3821,"Cloverdale, CA"
3822,In your dreams
3823,TX ✈️ LA 🛳 Seven Seas 
3824,MS Gulf Coast
3825,http://www.drjohnbergman.com/
3826,Bedford
3827,USA
3828,Former Intel / World Traveller
3829,A cloud☁️
3830,"St Louis, MO"
3831,"New Trumpshire, USA"
3832,"Aquarius🌞, Leo🌚, ⬆️Gemini"
3833,"Puebla, México"
3834,Eastern Washington
3835,http://www.drjohnbergman.com/
3836,"Charlotte, North Carolina"
3837,"Middletown, NY"
3838,"Bay Area, CA"
3839,"Kingston, Ontario"
3840,"Monterrey, México"
3841,"Texas, USA"
3842,"Portland, OR"
3843,Bay Area
3844,United States
3845,"Washington, USA"
3846,"Illinois, USA"
3847,"Atlanta, GA"
3848,"Baltimore, MD"
3849,México
3850,"San Mateo County, California"
3851,"Peterborough, Ontario, Canada"
3852,"Bay Area, CA"
3853,Eastcoast
3854,"Phoenix, AZ"
3855,"Maine, USA"
3856,"Upstate New York, NY"
3857,"Framingham, MA"
3858,"Maine, USA"
3859,"Texas, USA"
3860,"(Conway, Arkansas)"
3861,Asses
3862,USA
3863,"Dallas, TX"
3864,"Melbourne, Victoria"
3865,"Bronx, NY"
3866,Iligan City
